X,Y,FID,LEAAUNumbe,LEAInstNam,LEACategor,LEAIUNumbe,LEAIU,LEACountyN,LEAStatus,LEAStatusE,LEAWebAddr,LEAMailing,LEAMaili_1,LEAMaili_2,LEAMaili_3,LEAMaili_4,LEAMaili_5,LEALocatio,LEALocat_1,LEALocat_2,LEALocat_3,LEALocat_4,LEALocat_5,LEAPhoneNu,LEAPhone_1,LEAAdminTi,LEAAdminSa,LEAAdminFi,LEAAdminMi,LEAAdminLa,LEAAdminSu,LEAAdminPh,LEAAdmin_1,SchoolInst,SchoolAUNN,SchoolBran,SchoolName,GradeYear,GradeList,GradeCtgy,K4_Half,K4_Full,K5_Half,K5_Full,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Elementary,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Secondary_,SchoolCoun,SchoolStat,SchoolSt_1,SchoolWebA,SchoolPhon,SchoolPh_1,SchoolMail,SchoolMa_1,SchoolMa_2,SchoolMa_3,SchoolMa_4,SchoolMa_5,SchoolLoca,SchoolLo_1,SchoolLo_2,SchoolLo_3,SchoolLo_4,SchoolLo_5,SchoolAdmi,SchoolAd_1,SchoolAd_2,SchoolAd_3,SchoolAd_4,SchoolAd_5,CyberSchoo
-80.005801797452648,40.578951161906723,1,103020407,A W Beattie Career Center,Career and Technical Center,3,Allegheny IU 3,Allegheny,Open,1990-07-06T00:00:00.000Z,http://www.beattietech.com,9600 Babcock Boulevard, ,Allison Park,PA,15101,2005,9600 Babcock Boulevard, ,Allison Park,PA,15101,2005,(412)847-1900, ,Executive Director,Mr,Eric,C,Heasley, ,(412)847-1900,0,Occupational CTC,103020407,5273,A W Beattie Career Center,2017-2018,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,1990-09-06T00:00:00.000Z,http://www.beattietech.com,(412)847-1900, ,9600 Babcock Boulevard, ,Allison Park,PA,15101,2005,9600 Babcock Boulevard, ,Allison Park,PA,15101,2005,Executive Director,Mr,Eric,C,Heasley, , 
-79.966192634954879,40.400247025826893,2,102020003,Academy CS,Charter School,2,Pittsburgh-Mt Oliver IU 2,Allegheny,Open,2005-08-12T00:00:00.000Z, ,900 Agnew Rd, ,Pittsburgh,PA,15227,0,900 Agnew Rd, ,Pittsburgh,PA,15227,0,(412)885-5200, ,Chief Executive Officer,Mr,William,G,Styche, , ,0,Regular School,102020003,7846,Academy CS,2017-2018,8-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,2005-08-15T00:00:00.000Z, ,(412)885-5200, ,900 Agnew Rd, ,Pittsburgh,PA,15227,0,900 Agnew Rd, ,Pittsburgh,PA,15227,0,Chief Executive Officer,Mr,William,G,Styche, ,FALSE
-79.78386276302173,40.544566947902027,3,103020603,Allegheny Valley SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.avsdweb.org,300 Pearl Ave, ,Cheswick,PA,15024,1066,300 Pearl Ave, ,Cheswick,PA,15024,1066,(724)274-5300, ,Superintendent,Mr,Patrick, ,Graczyk, ,(724)274-5300,5115,Regular School,103020603,24,Colfax Upper El Sch,2017-2018,4-6,ELEMENTARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1999-03-24T00:00:00.000Z,http://www.avsdweb.org/,(724)274-7200, ,430 Colfax St, ,Springdale,PA,15144,1299,430 Colfax St, ,Springdale,PA,15144,1299,Elementary Supervisor,Mr,Gregory, ,Heavner, , 
-79.781716341058271,40.547444603517356,4,103020603,Allegheny Valley SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.avsdweb.org,300 Pearl Ave, ,Cheswick,PA,15024,1066,300 Pearl Ave, ,Cheswick,PA,15024,1066,(724)274-5300, ,Superintendent,Mr,Patrick, ,Graczyk, ,(724)274-5300,5115,Regular School,103020603,29,Springdale JSHS,2017-2018,7-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,2000-06-30T00:00:00.000Z,http://www.avsdweb.org/,(724)274-8100, ,501 Butler Rd, ,Springdale,PA,15144,1298,501 Butler Rd, ,Springdale,PA,15144,1298,Principal,Mrs,Michele, ,Welter, , 
-79.81728319976186,40.545688800439621,5,103020603,Allegheny Valley SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.avsdweb.org,300 Pearl Ave, ,Cheswick,PA,15024,1066,300 Pearl Ave, ,Cheswick,PA,15024,1066,(724)274-5300, ,Superintendent,Mr,Patrick, ,Graczyk, ,(724)274-5300,5115,Regular School,103020603,5296,Acmetonia Primary Sch,2017-2018,K5F-3,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,1999-01-26T00:00:00.000Z,http://www.avsdweb.org,(724)274-6500, ,300 Pearl Street, ,Cheswick,PA,15024,1066,300 Pearl Street, ,Cheswick,PA,15024,1066,Principal,Mr,Gregory, ,Heavner, , 
-80.094310186502838,40.542244599377263,6,103020753,Avonworth SD,School District,3,Allegheny IU 3,Allegheny,Open,2000-07-25T00:00:00.000Z,http://www.avonworth.k12.pa.us,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,(412)369-8738, ,Superintendent,Dr,Thomas,W,Ralston, ,(412)369-8738,0,Regular School,103020753,34,Avonworth El Sch,2017-2018,3-6,ELEMENTARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2000-07-24T00:00:00.000Z, ,(412)366-7170, ,1320 Roosevelt Rd, ,Pittsburgh,PA,15237,1064,1320 Roosevelt Rd, ,Pittsburgh,PA,15237,1064, ,Mr,William, ,Battistone,Jr., 
-80.079100348693359,40.531650140209308,7,103020753,Avonworth SD,School District,3,Allegheny IU 3,Allegheny,Open,2000-07-25T00:00:00.000Z,http://www.avonworth.k12.pa.us,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,(412)369-8738, ,Superintendent,Dr,Thomas,W,Ralston, ,(412)369-8738,0,Regular School,103020753,5199,Avonworth HS,2017-2018,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,2000-07-24T00:00:00.000Z, ,(412)366-6360, ,304 Josephs Lane, ,Pittsburgh,PA,15237,1252,304 Josephs Lane, ,Pittsburgh,PA,15237,1252,Principal,Mrs,Keera, ,Dwulit, , 
-80.078281563057971,40.53266556472218,8,103020753,Avonworth SD,School District,3,Allegheny IU 3,Allegheny,Open,2000-07-25T00:00:00.000Z,http://www.avonworth.k12.pa.us,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,(412)369-8738, ,Superintendent,Dr,Thomas,W,Ralston, ,(412)369-8738,0,Regular School,103020753,7669,Avonworth MS,2017-2018,7-8,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2000-07-24T00:00:00.000Z, ,(412)366-9650, ,256 Josephs Lane, ,Pittsburgh,PA,15237,1223,256 Josephs Lane, ,Pittsburgh,PA,15237,1223,Principal,Mr,Mike, ,Hall, , 
-80.092595948514145,40.542185789395134,9,103020753,Avonworth SD,School District,3,Allegheny IU 3,Allegheny,Open,2000-07-25T00:00:00.000Z,http://www.avonworth.k12.pa.us,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,258 Josephs Lane, ,Pittsburgh,PA,15237,1223,(412)369-8738, ,Superintendent,Dr,Thomas,W,Ralston, ,(412)369-8738,0,Regular School,103020753,8320,Avonworth Primary Center,2017-2018,K5F-2,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2014-07-01T00:00:00.000Z, ,(412)366-7171, ,1310 Roosevelt Road, ,Pittsburgh,PA,15237,0,1310 Roosevelt Road, ,Pittsburgh,PA,15237,0,Principal,Mr,Scott, ,Miller, , 
-79.995768071174894,40.345504974950281,10,103021102,Baldwin-Whitehall SD,School District,3,Allegheny IU 3,Allegheny,Open,1999-06-08T00:00:00.000Z,http://www.bwschools.net,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,4900 Curry Rd, ,Pittsburgh,PA,15236,1817,(412)885-7808, ,Superintendent,Dr,Randal,A,Lutz, ,(412)884-6300,7240,Regular School,103021102,37,McAnnulty El Sch,2017-2018,K5F-1,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Allegheny,Open,2000-07-12T00:00:00.000Z,https://www.bwschools.net,(412)714-2020, ,5151 McAnnulty Road, ,Pittsburgh,PA,15236,2521,5151 McAnnulty Road, ,Pittsburgh,PA,15236,2521,Principal,Mr,Daniel,J,Emanuelson, , 
